belongs_to_collection,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,keywords,cast,crew,ratings
,18,,121354,tt0049280,en,The Great Man,Joe Harris preparing a eulogy for popular radio commentator Herb Fuller finds that nobody has a good word to say about him,0.076706,3CJN2JwF40QMaEpBkPtUZu8LFFyjpg,6292,iso31661 US,1956-12-01,98.0,en,Released,Everybody loved the Great Man except those who hated his guts,The Great Man,5.0,1.0,"818,9817,12193,232473",121354,121354,27.5
,35,,121455,tt0054495,pl,Zezowate szczcie,The story is an odyssey of a little man through Poland of 1930 to 1950 It shows his attempts to cope with a changing world which seems to have no place for him He has no consciousness of any kind but is always on the verge of turning into a more coherent human being only to be slapped down It begins with the heros childhood Then comes the first love marred by his unwilling involvement in fascict politics him being taken for a Jew because of his nose Later he decides to join the army to charm the girl but arrives too late for any fighting He is arrested by entering German troops while he dresses in officers uniform and mistakenly sent to POW camp as an officer,0.409878,ledMwPZhHPwoboJyB2h1RQZfSFVjpg,"24674,76032",iso31661 PL,1960-04-04,107.0,pl,Released,,Bad Luck,5.1,4.0,,121455,121455,33.333333333333336
,"53,10769",httpyeongasi2012interestme,121491,tt2173024,ko,,Jaehyuk is a pharmaceutical worker for a medical supplies company When a series of dead bodies are found floating in the Han River The public is shocked to discovered that the deaths are related to a fatal outbreak of virusinfected mutant parasitic horsehair worms called Yeongasi that can control the human brain Those infected shows symptoms of hunger and thirst hence jumps into the river to combat dehydration Whilst the authorities work to find a cure Jaehyuk struggles to save his family when they also exhibits similar symptoms,2.350386,1kaWC5uEDsNz2PY7Udw8Q07TBMOjpg,11803,iso31661 KR,2012-07-05,109.0,ko,Released,,Deranged,6.5,24.0,6135,121491,121491,31.666666666666668
,"18,35",,121493,tt0114775,fr,Un t  La Goulette,Summer 1967 La Goulette the touristic beach of Tunisi is the site where three nice seventeenyearold girls live Gigi sicilian and catholic Meriem Tunisian and Arab Tina French and Jewish They would like to have their first sexual experience during that summer challenging their families Their fathers Youssef Jojo and Giuseppe are old friends and their friendship will be in crisis because of the girls while Hadj an old rich Arab would like to marry Meriem,0.263439,oHYEZlEORyTN86zCl8Gjg3T43uNjpg,"5358,7466,16366,25344,66451,75448",iso31661 BE,1996-12-25,100.0,"ar,fr,it",Released,,A Summer in La Goulette,6.0,4.0,"1975,8029,9673,10267",121493,121493,22.5
,18,,121598,tt1714866,en,Midnights Children,A CanadianBrith film adaptation of Salman Rushdies novel of the same name The film tells the story of a pair of children born within moments of India gaining independence from England grow up in the country that is nothing like their parents generation,8.00411,izf64ibfYq44giDau9oYfkF97jSjpg,"7295,89772",iso31661 CA,2012-10-26,148.0,"en,hi,ur",Released,,Midnights Children,5.4,15.0,187056,121598,121598,20.0
,"37,28,12,10749",,121707,tt0042744,en,Montana,An Australian sheep man comes to Montana looking for grazing space is opposed by local ranchers and a wealthy cattlewoman,0.579823,7X0nX6tMHyobz4A6R5D82htaTkZjpg,6194,iso31661 US,1950-01-28,76.0,en,Released,Their bullets riveted a new star to the flag,Montana,4.8,2.0,"680,3020,11933,12440,15225",121707,121707,27.5
,"18,28,10751",,121727,tt0074270,en,The Call of the Wild,A prospector a trapper and their sled dog battle the Klondike elements on their journey to get to the gold country,0.160044,kGAcRBW0nkMxaOPvlKKvFRrKhlljpg,,,1976-05-22,94.0,en,Released,,The Call of the Wild,0.0,0.0,,121727,121727,35.0
,99,,121831,tt2077747,en,Love Marilyn,Using the book Fragments which collects Marilyn Monroes poems notes and letters and with participation from the Arthur Miller and Truman Capote estates who have contributed more material each of the actresses will embody the legend at various stages in her life,4.836391,9hmgbsKs22TKjaH6DATR58hUA6Bjpg,"694,30567,30568",iso31661 FR,2012-09-12,105.0,en,Released,,Love Marilyn,6.2,14.0,187056,121831,121831,35.0
,"18,10752,53",,121835,tt1996310,de,Lore,After her Nazi parents are imprisoned Lore leads her younger siblings across a wartorn Germany in 1945 Amidst the chaos she encounters mysterious Jewish refugee Thomas who shatters her fragile reality with hatred and desire To live she must trust someone she was taught to hate and face the darkness within herself,6.468915,ndmzaty5aaY6VVw4KtQpcdCHnojpg,"6237,18485,32232",iso31661 AU,2012-08-02,108.0,"en,de",Released,When your life is a lie who can you trust,Lore,7.1,104.0,187056,121835,121835,18.333333333333332
,18,,121873,tt1674773,de,Hannah Arendt,Hannah Arendt is a portrait of the genius that shook the world with her discovery of the banality of evil After she attends the Nazi Adolf Eichmanns trial in Jerusalem Arendt dares to write about the Holocaust in terms no one has ever heard before Her work instantly provokes a furious scandal and Arendt stands strong as she is attacked by friends and foes alike But as the GermanJewish migr also struggles to suppress her own painful associations with the past the film exposes her beguiling blend of arrogance and vulnerability  revealing a soul defined and derailed by exile,5.329701,qURMo6XZtVnjl8FyNim0kMzQ7nmjpg,"393,1588,13025",iso31661 DE,2012-09-11,113.0,"de,en,fr,he",Released,Her ideas changed the world,Hannah Arendt,7.1,70.0,"1739,2606,2652,3575,4620,5565,11038,187056,190252,190253,192230",121873,121873,35.0
,"10402,18",httpwwwalatequartetcom,121879,tt1226240,en,A Late Quartet,When the beloved cellist of a worldrenowned string quartet is diagnosed with a life threatening illness the groups future suddenly hangs in the balance as suppressed emotions competing egos and uncontrollable passions threaten to derail years of friendship and collaboration As they are about to play their 25th anniversary concert  quite possibly their last  only their intimate bond and the power of music can preserve their legacy,11.03656,N0m1eVZG2cCTvjClQFboeddgcnjpg,58666,iso31661 US,2012-11-02,105.0,en,Released,No arrangement is more beautifulor more complicated,A Late Quartet,6.6,80.0,"5783,188842",121879,121879,30.0
,"12,37,10752",,121959,tt0050299,en,The Deerslayer,Director Kurt Neumanns 1957 film version of the James Fenimore Cooper tale set in  colonial America stars Lex Barker Forrest Tucker Rita Moreno Cathy ODonnell and Jay C Flippen,0.87572,tIOa6roEWFR4NHZu5Fk31nEVdCPjpg,,,1957-09-10,78.0,en,Released,James Fenimore Coopers Great Adventure Classic,The Deerslayer,6.0,1.0,"3593,236121",121959,121959,20.0
id 119 name The Lord of the Rings Collection posterpath p4UokEk2XnjjRTdXGe6DLYXlbI1jpg backdroppath bccR2CGTWVVSZAG0yqmy3DIvhTXjpg,"12,14,28",httpwwwlordoftheringsnet,122,tt0167260,en,The Lord of the Rings The Return of the King,Aragorn is revealed as the heir to the ancient kings as he Gandalf and the other members of the broken fellowship struggle to save Gondor from Saurons forces Meanwhile Frodo and Sam bring the ring closer to the heart of Mordor the dark lords realm,29.324358,uexxR7Kw1qYbZk0RYaF9Rx5ykbjjpg,"11,12",iso31661 NZ,2003-12-01,201.0,en,Released,The eye of the enemy is moving,The Lord of the Rings The Return of the King,8.1,8226.0,"603,606,609,818,3301,3930,6091,9812,11173,14707,14819,162846,173700,207372,234213",122,122,28.624662907575384
,"18,14,9648",,122019,tt0054042,es,Macario,Poor hungry peasant Macario longs for just one good meal on the Day of the Dead After his wife cooks a turkey for him he meets three apparitions the Devil God and Death Each asks him to share his turkey but he refuses all except Death In return Death gives him a bottle of water which will heal any illness Soon Macario is more wealthy than the village doctor which draws the attention of the feared Inquisition,0.837614,6gPftbnqbw1weT2RskeZOwJiplmjpg,18010,iso31661 MX,1960-05-09,91.0,es,Released,Macabre haunting and wonderful,Macario,7.3,9.0,"534,1899,4089,13006,14999,34079,188266,189895,208673",122019,122019,30.0
,18,,122088,tt2219514,he,,Eighteenyearold Shira is the youngest daughter of the Mendelman family She is about to be married off to a promising young man of the same age and background It is a dream come true and Shira feels prepared and excited On Purim her twentyeightyearold sister Esther dies while giving birth to her first child Mordechay The pain and grief that overwhelm the family postpone Shiras promised match  Everything changes when a match is proposed to YochayEsthers late husbandto a widow from Belgium Yochay feels its too early although he realizes that sooner or later he must seriously consider getting married again When the girls mother finds out that Yochay may marry the widow and move to Belgium with her only grandchild she,1.647014,bNmoHvuOekI7s3o14TY9fRTCMVnjpg,"584,22230,22231,22232,22233",iso31661 IL,2012-07-01,90.0,he,Released,,Fill the Void,6.5,30.0,"941,3901,11508,33476,187056,200684,200685,212915",122088,122088,35.625
,53,,122163,tt0199650,en,Jill Rips,A tough guy goes undercover on a personal mission of vengeance into the hardcore world of SampM to find out whos responsible for the death of his brother,1.089141,sZ9uAKvYGmvEoUl2yCRKm2ISTvjjpg,"954,1403,12555,12556",iso31661 US,2000-01-28,94.0,en,Released,Shes Americas Most Wanted Serial Killer,Jill Rips,4.0,7.0,"549,818,9693,10714,11199",122163,122163,37.5
,"18,35",,122268,tt0065700,en,Entertaining Mr Sloane,Sloane a handsome sexy and completely amoral young man joins Kaths household as a lodger and proceeds to manipulate her and her brother Ed He is recognized by Kemp Dadda as the murderer of Kemps former employer whereupon Sloane murders Kemp Sloanes just desserts are not what one would expect,1.088397,xCSvzJBj43VU8NujjkICxwbgn9Njpg,,,1970-04-08,94.0,en,Released,,Entertaining Mr Sloane,6.0,6.0,10092,122268,122268,18.333333333333332
,18,,122270,tt0066150,de,Die Niklashauser Fart,Can a small group of people start a proletarian revolution asks the Black Monk in a leather jacket The medieval shepherd Hans Boehm claims to have been called by the Virgin Mary to create a revolt against the church and the landowners The Black Monk suggests that he would have more success if he dressed up Johanna and had her appear as the Virgin Mary,0.085174,hYtsTYnxw0Jp4f7tCcMFp0VaF17jpg,"4497,7025",iso31661 DE,1970-10-26,90.0,de,Rumored,,The Niklashausen Journey,8.0,2.0,,122270,122270,34.0
,"35,18,10749",,122325,tt0023394,en,The Rich Are Always with Us,The ten year marriage of of Caroline Van Dyke and Greg Grannard is falling apart A young woman Allison plots to become his second wife Carolines friend novelist Julian has long loved her and now sees his chance but she refuses him and goes to Paris to file for divorce Julian follows but on hearing that Greg has fallen on financial hardship Caroline returns to help him Greg tells Caroline that his nowwife Allison is pregnant and Caroline realizes that she loves Julian and to travel to China with him and be married Allison and Greg have a bitter row in the car which then smashes into a tree killing Allison and injuring Greg Caroline tells Julian she will stay with Greg until he is well but marries Julian in the hospital with,0.154659,h3UV4xI26uUOt9byPqz2o1vwQRmjpg,"3245,6194,9329",iso31661 US,1932-05-21,71.0,"en,fr",Released,Sumptuous portrayal of sensuous society in the perfumed fragrance of Park Avenue and Paris boudoirs,The Rich Are Always with Us,6.8,2.0,10644,122325,122325,33.333333333333336
,"36,10749",,122331,tt0018566,en,When a Man Loves,A nobleman studying for the priesthood abandons his vocation in 18th Century France when he falls in love with a beautiful but reluctant courtesan,0.566853,o6RQUKSRFxBH9Ddrc35etYjubDpjpg,6194,iso31661 US,1927-08-21,111.0,,Released,,When a Man Loves,0.0,0.0,"4178,154802,160279,226480",122331,122331,28.333333333333332
,,,122341,tt0493044,en,Pine Flat,Set in a small town in the Sierra Nevadas Pine Flat is a look at youth and a meditation on nature socialization and solitude,0.053465,37WAktfV3A1Qy4Sny2pp6dWxdoAjpg,,,2006-01-01,138.0,,Released,,Pine Flat,0.0,0.0,187056,122341,122341,25.0
,"18,12",,122435,tt0024514,de,SOS Eisberg,A expedition goes in search of a party lost the year before,0.404707,r7nw2FNxcgm4ZMIA4NfOUanrxvZjpg,16643,iso31661 DE,1933-08-30,90.0,de,Released,,SOS Iceberg,6.0,3.0,,122435,122435,25.0
,,httpwwwfacebookcompagesSickBoy105853559453500,122466,tt1829735,en,Sick Boy,Sick Boy stars Skye McCole Bartusiak as Lucy a young woman who steps in for a friend to take a job babysitting a young boy confined to his room due to a mysterious illness Lucy begins to suspect the childs mother played by horror legend Debbie Rochon is hiding somethingthe truth turns out to be far worse than she could imagine,1.486743,fPhr6OHQcDYElc90i44ZCqG98L2jpg,10219,iso31661 US,2011-12-21,90.0,en,Released,,Sick Boy,4.1,6.0,9950,122466,122466,25.294117647058822
,35,,122515,tt0076107,en,The Great Bank Hoax,When the prominent citizens of a small town discover that the officers of the local bank have been embezzling money from it they decide to rob the bank themselves,0.818005,xinCxH87VI2fe9GDqobJB8nqSw0jpg,6194,iso31661 US,1978-11-01,87.0,en,Released,God Bless America But grab what you can just in case,The Great Bank Hoax,0.0,0.0,"10051,221945",122515,122515,35.0
,,,122525,tt0025942,en,La verbena de la Paloma,A young printers relationship with his girlfriend is in trouble after she accepts another suitors invitation to the fair This adaption of a popular operetta aims to please with a simple storyline and goofy slapstick,0.06371,1Tlq9drOfx4O7OSZ6wgAA7QYrVpjpg,,,1935-12-23,78.0,es,Released,,Fair of the Dove,5.0,1.0,,122525,122525,31.25
,,,122619,tt1289430,en,La Rabbia Di Pasolini,An attempt to reconstruct the complete version of Pier Paolo Pasolinis segment of La rabbia,0.481496,sLo3piPw9M27wG8ArgC8YNrvzi3jpg,,,2008-09-05,83.0,,Released,,La Rabbia Di Pasolini,0.0,0.0,,122619,122619,25.0
,18,,122671,tt0063384,sv,Ole dole doff,Sren Mrtensson is a middle school teacher His classroom occupied by halfgrown children His work is tormenting him and at night he is haunted by nightmares,0.312707,tmRazHF8hLFtb1OcLu3IpgzvA6Qjpg,6181,iso31661 SE,1968-03-18,110.0,sv,Released,,Who Saw Him Die,7.3,7.0,10508,122671,122671,30.0
,"27,878",,122677,tt0068291,en,Blood of Ghastly Horror,A mad scientist implants an electronic device into the brain of an injured soldier which turns him into a psychotic killer,0.006668,eRHmpWVNiK28q1dWjPIbs1CnR75jpg,"4951,13981",iso31661 US,1972-01-21,85.0,en,Released,Human zombies rise from their coffins as living corpses,Blood of Ghastly Horror,1.5,4.0,"9856,10125,12377,157171",122677,122677,35.0
,18,,122709,tt0024800,en,Zoo in Budapest,Zani is an unusual young man who has spent his entire life in a zoo in Budapest His only true friends are the zoos animals When Zani meets Eve a young orphan girl they fall in love To be together Eve must somehow escape from her strict orphan school When she does she and Zani must hide overnight in the zoo  where everyone is looking to find them,0.216209,qCbNffdYKa0wybxqmX5YhklC7drjpg,5488,iso31661 US,1933-04-28,94.0,en,Released,,Zoo in Budapest,4.5,2.0,"2172,9840,13014",122709,122709,22.5
,37,,122787,tt0063500,it,Requiescant,Requiescant is a 1967 spaghetti western directed by Carlo Lizzani After surviving his family being massacred a young boy is taken in and raised by a preacher Years later he comes face to face with the man that killed his family and he is tempted into back into violence,1.385216,fMg4vc3JW5Erz6rx1f3dZwAn2Zajpg,"317,10451,10452,10561,10562",iso31661 DE,1967-03-10,92.0,it,Released,,Kill and Pray,6.7,3.0,"15084,156212,163127,186918",122787,122787,35.0
id 10713 name Universal Soldier Collection posterpath vz9ym8LnmyvEAm4ms9PH8JUmUuQjpg backdroppath bonZuSo9YE7LFHEFE8oLD3qv32ojpg,"53,28,878,27,9648",,122857,tt1659343,en,Universal Soldier Day of Reckoning,In a world without government the surviving Unisols maintain order and choose the strongest of their ranks to rule testing them in lifeordeath combat,12.887287,2vFlwNhV9HgbjfYZaEhRPfNwSuWjpg,"2982,21897,23423",iso31661 US,2012-10-04,114.0,en,Released,Under their own command,Universal Soldier Day of Reckoning,5.1,139.0,"10292,14687,186410,186411,186413,186416,186417",122857,122857,33.75
,"18,37",,122884,tt0030517,en,Of Human Hearts,This is a story about family relationships set in the time before and during the American Civil War Ethan Wilkins is a poor and honest man who ministers to the human soul while his son Jason yearns to be a doctor helping people in the earthly realm It is a rich story about striving for excellence the tension of fatherson rebellion and the love of a mother that can never die,0.404973,zttaAyrEkafbmuSXvybqK9szYnfjpg,8411,iso31661 US,1938-02-11,103.0,en,Released,MetroGoldwynMayers Great 5000 Title Contest Picture,Of Human Hearts,2.3,3.0,"393,9888,13005,18035",122884,122884,31.142433234421365
,"14,28,878,10751",,122894,tt0097630,en,Journey to the Center of the Earth,When brothers Richard and Bryan and young nanny Crystina fall into a hole while exploring one of Hawaiis many volcanic caves they plummet all the way to the center of the Earth in this adventure loosely based on Jules Vernes classic novel The teenoriented film follows the trios discovery of the lost continent of Atlantis an underground world populated by creatures and monsters,0.196544,wbI36Zho6AYfrAaZyd5QDy1EH7Gjpg,,,1989-07-14,100.0,,Released,Explore the Impossible,Journey to the Center of the Earth,2.4,5.0,"2768,3347",122894,122894,25.3125
,"28,53",,122924,tt1881024,en,One in the Chamber,A seasoned assassin plays both sides in a Russian gang war and becomes the target of an unknown enemy,8.04066,mLgTkgKB6B73gKod9IKHRXnyBo1jpg,"2090,8624,25263",iso31661 RO,2012-08-21,91.0,en,Released,When killers collide every bullet counts,One in the Chamber,4.6,39.0,47021,122924,122924,33.26962809917355
,18,,122928,tt1899324,en,The Letter,A playwright who begins to mentally unravel before premiere night She is plagued by dreams and visions of being watched but cannot decide if she is at the center of a manipulative plot or simply losing her grip on reality,1.268026,vYEbCetOltU38zdOokiDeVRGbZAjpg,8924,iso31661 US,2012-09-06,92.0,en,Released,Obsession can blur the lines of reality,The Letter,3.8,8.0,,122928,122928,30.0
,"35,53",,122930,tt2005164,en,Breathless,Lorna is a strongwilled Texas woman whos had enough of her untrustworthy husband Dales criminal acts and lack of husbandry Fed up she enlists the help of her old friend Tiny to help her figure out what to do with Dale after his latest doublecross involving the theft of 100000 from a bank,4.983025,x0SEl2btQY8SQtY32jAnP40VSWCjpg,8135,iso31661 US,2012-01-04,91.0,en,Released,,Breathless,5.9,14.0,,122930,122930,5.0
,"27,18",,122982,tt0114376,en,The Secretary,Her boss made a big mistake by not promoting it Now is the perfect secretary in the service of revenge,0.081332,hU7rv0IFR9xgnuX74hZIYMyH99Gjpg,,,1995-04-12,94.0,en,Released,,The Secretary,0.0,1.0,,122982,122982,16.25
id 141290 name The Lord of the Rings Animated Collection posterpath pQuazFOlGRdn2Lb3oWFJYPeASOcjpg backdroppath uUG532EWfyhtKDzsA0sLb,"14,18,16,12",,123,tt0077869,en,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Saurons reign over Middleearth,7.914795,1l3WpoF7TX9pOprX4XepCXjQXUVjpg,"60,286",iso31661 US,1978-11-15,132.0,en,Released,Fantasybeyond your imagination,The Lord of the Rings,6.1,187.0,"603,604,611,10364",123,123,39.857716161984676
,"27,53",,123103,tt1780762,es,Aftershock,Mayhem and death follow when an earthquake traps a group of tourists in a Chilean town,8.367858,nCeWtzaWpXCHz6NsK1TOvVJhpAOjpg,"10246,18142,18144,18148",iso31661 CL,2012-09-12,89.0,"en,es",Released,The only thing more terrifying than Mother Nature is human nature,Aftershock,5.3,110.0,"570,3521,5096,6941",123103,123103,28.0
,"27,878,53",,123105,tt1713476,en,The Bay,Two million fish washed ashore One thousand blackbirds dropped from the sky On July 4 2009 a deadly menace swept through the quaint seaside town of Claridge Maryland but the harrowing story of what happened that Independence Day has never been tolduntil now The authorities believed they had buried the truth about the tragedy that claimed over 700 human lives Now three years later a reporter has emerged with footage revealing the coverup and an unimaginable killer a mysterious parasitic outbreak Told from the perspective of those who were there and saw what happened The Bay unfolds over 24 hours through peoples iPhones Androids 911 calls webcams and whatever else could be used to document the nightmare in Claridge What,6.770051,rbQuZIgV7BrclmVkTTRKp5rzdI1jpg,"7625,10936,11407",iso31661 US,2012-09-13,84.0,en,Released,Panic feeds on fear,The Bay,5.5,237.0,"157634,163053",123105,123105,30.0
,"27,35,53",,123107,tt1865393,en,Hellbenders,An exorcism comedy which follows the Order of Hellbound Saints Brooklyn Parish a highly secretive and profoundly blasphemous men of God as they battle demonic forces too terrible to be cast out by traditional Vaticanapproved methods,5.28105,2gfvV2k1RoNj6C0WyJmxWCG6mBNjpg,"3768,14406,23921",iso31661 US,2013-10-18,87.0,en,Released,,Hellbenders,5.5,23.0,,123107,123107,34.72222222222222
,"27,53",httpnoonelivesthemoviecom,123109,tt1763264,en,No One Lives,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem,7.202832,fQarG0ddQM5XddKz0BXd7qTGK9jjpg,"7396,10339,22305,22306",iso31661 US,2013-03-09,86.0,en,Released,No one runs No one escapes,No One Lives,5.5,173.0,"236,255,293,1366,1946,2483,2669,3306,6149,6259,9826,9935,10292,10714,10726,11221,12339,13006,14541,14687,14819,17953,155781,177673,180738,181620,214984",123109,123109,31.428571428571427
,35,,123229,tt2282849,fr,Les Kara,3 childhood friends who have never left their hometown in the suburb try to get into porn as a way earning easy money,9.754955,8WO5Qw9QI7ola2cYXGymzJVpQxhjpg,"5358,10611,12095,12096,12098,12099,12100",iso31661 FR,2012-07-11,98.0,fr,Released,,Porn in the Hood,5.4,92.0,"445,2698,9835,10700,237847",123229,123229,21.5
,"35,10749",,123235,tt1885331,fr,ParisManhattan,In Paris the pharmacist Alice has been an obsessed Woody Allen fan since she was fifteen and has seen all his movies and talks to him alone in her room When she meets Pierre in a nightclub she finds that he loves jazz and she believes he is her prince charming But when Pierre sees Alices sister Hlne they immediately fall in love with each other and marry each other Years later Alice is a spinster that administrates the pharmacy that belonged to her father and believes that movies can heal many diseases However her father insistently tries to find a husband for her When the alarm technician Victor meets Alice she does not see any future relationship with him But one day Victor brings Alice to meet Woody Allen in Paris and,4.200272,k9t4212ank5KxG0rWBjXyCL8vPtjpg,"2902,5358,7454,7460,10611,12100,15671,20655,40274",iso31661 FR,2012-07-16,79.0,"en,fr,it",Released,Two cities One hopeless romantic,ParisManhattan,5.3,67.0,"90,128,9799,9840,185368,187056",123235,123235,25.0
,99,,123320,tt1433817,en,Silttyj unelmia,A simple can of ravioli propels this spectacular 30000kilometre eightcountry journey through all phases of food production and the far flung sources of international ingredients A dreamlike voyage with glimpses of disconcerting realities the story begins with a single mother toiling in one of the biggest open pit mines in Brazil and ends on the shelf of a grocery store in Finland Along the way the workers whose calloused hands mine raise and harvest each ingredient reveal their dreams and hopes like the Danish pig farmer who loves his sows but longs for a girlfriend and the Portuguese tomato picker who wants to stay healthy long enough to pay her daughters way through university Sumptuous photography and impressive sound des,0.043575,cwyBaaRT71QSn04OQpMhDGZUrr4jpg,201,,2012-01-25,75.0,fi,Released,,Canned Dreams,10.0,1.0,187056,123320,123320,5.0
,878,,123337,tt2433494,en,Sight,A short futuristic film featuring Augmented reality and Gamification by Eran Mayraz and Daniel Lazo This is our graduation project from Bezaleal academy of arts,1.242355,ISma785494ACCtY45gRnBhf5lsjpg,,iso31661 IL,2012-07-27,7.0,en,Released,Sight,Sight,6.6,11.0,"248,6186,11615",123337,123337,35.0
,"27,53",,123359,tt2107648,es,Ah va el diablo,A married couple loses their children while on a family trip near some caves in Tijuana The kids eventually reappear without explanation but it becomes clear that they are not who they used to be that something terrifying has changed them,2.540221,majTbCUk5NDMMxHhbhcWaRbXI8Mjpg,"o Films id 22865,23457,23838",iso31661 MX,2012-09-11,97.0,es,Released,,Here Comes the Devil,5.8,43.0,"161261,179571",123359,123359,34.285714285714285
,"10402,99",,123431,tt2312602,en,Reincarnated,Evolution as an artist is often times what separates legends from the more mundane After being heavily influenced by his experience in Jamaica  and his subsequent name change from Snoop Dogg to Snoop Lion  the LBC showman prepares his latest reggaeinfused album Reincarnated As part of the process VICE followed Snoop to the island nation as he recorded various songs with backing from Diplo Ariel Reichtshaid and Dre Skull of Major Lazer Having grown tired of what rap provided him the documentary reveals the rebirth and inspiration for his latest project,4.529236,uat7cPaHiRiSeKaMi8bdNaDOLoCjpg,,,2012-11-11,98.0,en,Released,,Reincarnated,6.3,32.0,,123431,123431,25.0
,"28,12,18,9648,10749",httpwwwthemortalinstrumentsmoviecom,123553,tt1538403,en,The Mortal Instruments City of Bones,In New York City Clary Fray a seemingly ordinary teenager learns that she is descended from a line of Shadowhunters  halfangel warriors who protect humanity from evil forces After her mother disappears Clary joins forces with a group of Shadowhunters and enters Downworld an alternate realm filled with demons vampires and a host of other creatures Clary and her companions must find and protect an ancient cup that holds the key to her mothers future,14.336187,6tUdKoNdBsu321nMpvQsj81DA8ejpg,"5755,22656,60746,60747",iso31661 US,2013-08-21,130.0,en,Released,You have been chosen,The Mortal Instruments City of Bones,6.2,1649.0,"290,3133,12564,157667,186420,186423,186425,223438",123553,123553,16.428571428571427
,"10749,35",,123723,tt0041414,fr,Gigi,Gilberte is a sixteen year old girl raised by her aunt and grandmother to be a demimondaine But shes not ready for that yet and spends her days in lessons and in teasing Mamitas old friend the rich playboy Gaston LaChaille and following his affairs from afar But when Gaston throws off his latest mistress it looks as if Gigi just might be ready to begin her destined career,0.43086,devLzCOnSjKKXNZmXxVB8Rd86bAjpg,,iso31661 FR,1949-10-05,82.0,fr,Released,,Gigi,6.0,2.0,"818,187056",123723,123723,26.666666666666668
,35,,123757,tt0099014,en,All the Vermeers in New York,Anna a French actress is approached by financial broker Gordon in the Vermeer room of a New York gallery However romance does not ensue,4e-06,kPJKBvgy5IlIMZiFk7ERGMm8NrQjpg,,iso31661 US,1990-09-11,87.0,en,Released,,All the Vermeers in New York,0.0,0.0,,123757,123757,33.333333333333336
,,,123949,tt2403899,ru,,A storry about a friendship between two very different women,0.697572,am3y3WF0MU6rS7mBBnEK6sRef9Njpg,,iso31661 RU,2012-06-14,90.0,ru,Released,,Kokoko,2.5,3.0,,123949,123949,30.0
,"10752,35",,123961,tt0066564,en,Which Way to the Front,Brendan Byers III Jerry Lewis one of the richest men in America has been pronounced 4F and cant serve his country in its war against Hitler Byers does not takes No for an answer and recruits other 4Fs to fight against Hitler,1.105048,2KDpbZh76Vp5YRNYjuw6IPvTv9zjpg,5533,iso31661 US,1970-09-03,96.0,en,Released,,Which Way to the Front,4.4,7.0,,123961,123961,35.0
,,,123979,tt1843214,en,Mourir auprs de toi,Spike Jonzes stopmotion animation short sees a number of literary characters literally leap from the page,0.618948,qG0NvUmt0CGmukXkNVX7Dfhy8p9jpg,,iso31661 FR,2011-05-14,6.0,,Released,,To Die By Your Side,6.5,4.0,,123979,123979,30.0
,"18,14",,124,tt0086961,pl,Bez Konca,Taking place in a 1982 Poland a translator loses her husband and becomes a victim of her own sorrow She looks to sex to her son to law and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned,3.256676,f92Uj97MT2DXVQBYU5J9ope74Mcjpg,1587,iso31661 PL,1985-06-17,109.0,"en,pl",Released,,No End,7.0,5.0,"1605,1786,3012,3737,4183,6068,6091,6155,10909",124,124,34.882005899705014
,80,,124013,tt0214238,fr,Un Crime,,0.334297,pZ5VGusGpb0XvXv2v0ABksb3wvOjpg,,iso31661 FR,1993-08-04,0.0,fr,Released,,A Crime,0.0,0.0,,124013,124013,25.0
,35,,124029,tt0110518,en,A Million to Juan,Romantic comedy about an honest Mexican immigrant who struggles without a green card by selling oranges on a street corner One day a limousine pulls up and he is handed a check for 1000000 with instructions that he is to give the check back in 30 days Initially he uses the check to convince people to extend credit to him In the meantime he also attracts a woman who is in a dead end relationship with a bossy businessman At the end of the 30 days he finds his life in turmoil the things he got on credit is repossessed and he is being evicted from his dwelling and being sent back to Mexico,0.535028,8tL0LeSrtTeRfbDF659fdONaNkwjpg,"4063,e id 4077,13427",iso31661 US,1994-05-15,97.0,en,Released,Money cant buy everything Yeah right,A Million to Juan,4.3,3.0,"1946,5890,10235,10594",124029,124029,30.0
,99,httptribecafilmcomtribecafilmfilmguidehowtomak,124071,tt1276962,en,How to Make Money Selling Drugs,Ten easy steps show you how to make money from drugs featuring a series of interviews with drug dealers prison employees and lobbyists arguing for tougher drug laws,2.977883,ovPd5YdG19sqgAbgFv5GyiHbpVxjpg,3924,iso31661 US,2012-09-07,96.0,en,Released,,How to Make Money Selling Drugs,6.8,46.0,"1601,2150,2231,10776,33067,156805,163081",124071,124071,20.0
,"18,35",,124085,tt0104467,fr,Hynes,After being kicked out of her African village three decades earlier for getting pregnant out of wedlock Linguere Ami Diakhate has returned home While Linguere has done well for herself her home village has fallen on hard economic times Intent on punishing Dramaan Mansour Diouf the man who fathered her child but refused to own up to the act Linguere makes a proposal She will help the town financially if the locals agree to execute Dramaan,0.013026,qxuuwZLWs2jxjF5eZFwFs0Zc0yUjpg,"2901,16843",iso31661 SN,1992-09-18,110.0,"fr,ja,wo",Released,,Hyenas,7.3,4.0,"409,13069",124085,124085,15.0
